Date,Cured,Deaths,Confirmed
2020-04-14,0,0,1
2020-04-15,0,1,7
2020-04-16,0,1,7
2020-04-17,0,1,9
2020-04-18,0,1,11
2020-04-19,0,1,11
2020-04-20,0,1,11
2020-04-21,0,1,11
2020-04-22,0,1,12
2020-04-23,0,1,12
2020-04-24,0,1,12
2020-04-25,0,1,12
2020-04-26,0,1,12
2020-04-27,0,1,12
2020-04-28,0,1,12
2020-04-29,0,1,12
2020-04-30,0,1,12
2020-05-01,0,1,12
2020-05-02,0,1,12
2020-05-03,0,1,12
2020-05-04,0,1,12
2020-05-05,10,1,12
2020-05-06,10,1,12
2020-05-07,10,1,12
2020-05-08,10,1,12
2020-05-09,10,1,12
2020-05-10,10,1,13
2020-05-11,10,1,13
2020-05-12,10,1,13
2020-05-13,10,1,13
2020-05-14,10,1,13
2020-05-15,11,1,13
2020-05-16,11,1,13
2020-05-17,11,1,13
2020-05-18,11,1,13
2020-05-19,11,1,13
2020-05-20,12,1,13
2020-05-21,12,1,14
2020-05-22,12,1,14
2020-05-23,12,1,14
2020-05-24,12,1,14
2020-05-25,12,1,14
2020-05-26,12,1,14
2020-05-27,12,1,15
2020-05-28,12,1,20
2020-05-29,12,1,21
2020-05-30,12,1,27
2020-05-31,12,1,27
2020-06-01,12,1,27
2020-06-02,12,1,27
2020-06-03,12,1,27
2020-06-04,13,1,33
2020-06-05,13,1,33
2020-06-06,13,1,33
2020-06-07,13,1,33
2020-06-08,13,1,36
2020-06-09,13,1,36
2020-06-10,13,1,43
2020-06-11,13,1,44
2020-06-12,18,1,44
2020-06-13,22,1,44
2020-06-14,22,1,44
2020-06-15,25,1,44
2020-06-16,25,1,44
2020-06-17,25,1,44
2020-06-18,30,1,44
2020-06-19,30,1,44
2020-06-20,33,1,44
2020-06-21,33,1,44
2020-06-22,33,1,44
2020-06-23,37,1,44
2020-06-24,37,1,46
2020-06-25,42,1,46
2020-06-26,42,1,46
2020-06-27,42,1,47
2020-06-28,42,1,47
2020-06-29,42,1,47
2020-06-30,42,1,47
2020-07-01,42,1,52
2020-07-02,42,1,52
2020-07-03,42,1,56
2020-07-04,43,1,62
2020-07-05,43,1,62
2020-07-06,43,1,62
2020-07-07,43,1,80
2020-07-08,43,1,80
2020-07-09,43,1,80
2020-07-10,66,2,113
2020-07-11,66,2,207
2020-07-12,66,2,207
2020-07-13,66,2,306
2020-07-14,66,2,318
2020-07-15,66,2,318
2020-07-16,66,2,346
2020-07-17,66,2,377
2020-07-18,66,2,403
2020-07-19,66,2,418
2020-07-20,66,2,450
2020-07-21,66,4,466
2020-07-22,70,4,490
2020-07-23,77,4,514
2020-07-24,78,4,534
2020-07-25,87,5,588
2020-07-26,94,5,646
2020-07-27,135,5,702
2020-07-28,186,5,738
2020-07-29,194,5,779
2020-07-30,207,5,784
2020-07-31,210,5,803
2020-08-01,215,5,823
2020-08-02,252,5,856
2020-08-03,264,5,874
2020-08-04,264,5,902
2020-08-05,330,5,917
2020-08-06,330,5,929
2020-08-07,345,5,990
2020-08-08,411,5,1006
2020-08-09,423,6,1023
2020-08-10,490,6,1062
2020-08-11,498,6,1114
2020-08-12,509,6,1136
2020-08-13,517,6,1179
2020-08-14,547,6,1193
2020-08-15,581,6,1228
2020-08-16,596,6,1292
2020-08-17,675,6,1374
2020-08-18,679,6,1418
2020-08-19,685,6,1457
2020-08-20,694,6,1506
