Date,Cured,Deaths,Confirmed
2020-04-13,0,0,1
2020-04-14,0,0,1
2020-04-15,0,0,0
2020-04-16,0,0,0
2020-04-17,0,0,0
2020-04-18,0,0,0
2020-04-19,0,0,0
2020-04-20,0,0,0
2020-04-21,0,0,0
2020-05-26,0,0,3
2020-05-27,0,0,4
2020-05-28,0,0,4
2020-05-29,0,0,18
2020-05-30,0,0,25
2020-05-31,0,0,36
2020-06-01,0,0,43
2020-06-02,0,0,43
2020-06-03,0,0,49
2020-06-04,0,0,58
2020-06-05,0,0,80
2020-06-06,0,0,94
2020-06-07,0,0,107
2020-06-08,8,0,118
2020-06-09,8,0,123
2020-06-10,10,0,127
2020-06-11,22,0,128
2020-06-12,22,0,128
2020-06-13,49,0,156
2020-06-14,76,0,163
2020-06-15,88,0,168
2020-06-16,92,0,177
2020-06-17,92,0,179
2020-06-18,103,0,193
2020-06-19,103,0,193
2020-06-20,125,0,198
2020-06-21,138,0,201
2020-06-22,141,0,211
2020-06-23,141,0,280
2020-06-24,141,0,330
2020-06-25,148,0,347
2020-06-26,160,0,355
2020-06-27,162,0,371
2020-06-28,164,0,387
2020-06-29,164,0,415
2020-06-30,168,0,434
2020-07-01,168,0,459
2020-07-02,168,0,459
2020-07-03,182,0,501
2020-07-04,228,0,539
2020-07-05,228,0,563
2020-07-06,231,0,590
2020-07-07,243,0,625
2020-07-08,243,0,625
2020-07-09,304,0,657
2020-07-10,304,0,673
2020-07-11,304,0,732
2020-07-12,313,0,748
2020-07-13,327,0,774
2020-07-14,340,0,845
2020-07-15,346,0,896
2020-07-16,348,0,902
2020-07-17,391,0,916
2020-07-18,405,0,956
2020-07-19,432,0,978
2020-07-20,445,0,988
2020-07-21,484,0,1021
2020-07-22,485,0,1030
2020-07-23,486,0,1084
2020-07-24,530,0,1174
2020-07-25,537,1,1239
2020-07-26,541,4,1289
2020-07-27,549,4,1339
2020-07-28,569,5,1385
2020-07-29,577,5,1460
2020-07-30,595,5,1513
2020-07-31,625,5,1566
2020-08-01,635,5,1693
2020-08-02,640,5,1831
2020-08-03,648,5,1935
2020-08-04,657,5,2129
2020-08-05,659,5,2405
2020-08-06,685,6,2498
2020-08-07,819,6,2580
2020-08-08,824,7,2657
2020-08-09,896,7,2688
2020-08-10,904,8,2781
2020-08-11,973,8,3011
2020-08-12,991,8,3031
2020-08-13,1113,8,3118
2020-08-14,1139,8,3168
2020-08-15,1198,8,3322
2020-08-16,1321,8,3340
2020-08-17,1422,8,3394
2020-08-18,1530,8,3455
2020-08-19,1664,8,3520
2020-08-20,1706,8,3558
2020-08-21,1921,8,3583
2020-08-22,2074,8,3619
2020-08-23,2166,9,3635
2020-08-24,2294,9,3686
2020-08-25,2396,9,3714
2020-08-26,2611,9,3752
2020-08-27,2611,9,3778
2020-08-28,2735,9,3784
2020-08-29,2850,9,3805
2020-08-30,2917,9,3851
2020-08-31,3026,9,3922
2020-09-01,3067,9,3950
2020-09-02,3201,9,4003
2020-09-03,3223,9,4017
2020-09-04,3324,9,4066
2020-09-05,3361,10,4107
2020-09-06,3392,10,4128
2020-09-07,3511,10,4178
2020-09-08,3685,10,4220
2020-09-09,3739,10,4245
2020-09-10,3787,10,4375
2020-09-11,3792,10,4636
2020-09-12,3802,10,4946
2020-09-13,3839,10,5064
2020-09-14,3901,10,5083
2020-09-15,3915,10,5214
2020-09-16,3945,15,5229
2020-09-17,3987,15,5263
2020-09-18,4098,15,5306
2020-09-19,4129,15,5357
2020-09-20,4171,15,5392
2020-09-21,4252,15,5451
2020-09-22,4477,15,5544
2020-09-23,4517,15,5604
2020-09-24,4536,16,5671
2020-09-25,4626,16,5730
2020-09-26,4669,16,5768
2020-09-27,4819,16,5862
2020-09-28,4888,16,5946
2020-09-29,4938,17,5957
2020-09-30,4986,17,6040
2020-10-01,5066,17,6163
2020-10-02,5144,17,6244
2020-10-03,5211,17,6318
2020-10-04,5257,17,6429
2020-10-05,5309,17,6552
2020-10-06,5422,17,6594
2020-10-07,5460,17,6662
2020-10-08,5498,17,6715
2020-10-09,5564,17,6736
2020-10-10,5656,17,6888
2020-10-11,5694,17,6949
2020-10-12,5743,17,7019
2020-10-13,5813,18,7240
2020-10-14,5831,19,7363
2020-10-15,5916,22,7416
2020-10-16,6017,22,7492
2020-10-17,6111,22,7604
2020-10-18,6141,27,7698
2020-10-19,6206,27,7816
2020-10-20,6273,27,7953
2020-10-21,6334,28,8020
2020-10-22,6428,28,8139
2020-10-23,6469,28,8296
2020-10-24,6570,28,8436
2020-10-25,6668,30,8515
2020-10-26,6724,31,8626
2020-10-27,6792,33,8663
2020-10-28,6828,33,8726
2020-10-29,6945,34,8824
2020-10-30,7096,35,8894
2020-10-31,7308,39,8945
2020-11-01,7454,39,9047
2020-11-02,7535,39,9075
2020-11-03,7689,42,9096
2020-11-04,7869,42,9151
2020-11-05,8017,44,9207
2020-11-06,8161,45,9264
2020-11-07,8282,45,9327
2020-11-08,8336,45,9455
2020-11-09,8440,46,9474
2020-11-10,8513,46,9503
2020-11-11,8597,50,9536
2020-11-12,8687,50,9578
2020-11-13,8776,50,9615
2020-11-14,8859,52,9638
2020-11-15,8891,52,9750
2020-11-16,8913,52,9885
2020-11-17,8959,53,10025
2020-11-18,8997,53,10188
2020-11-19,9057,54,10366
2020-11-20,9110,54,10460
2020-11-21,9208,56,10608
2020-11-22,9242,57,10674
2020-11-23,9308,59,10777
2020-11-24,9347,61,10852
2020-11-25,9397,61,10931
2020-11-26,9463,61,10991
2020-11-27,9595,63,11060
2020-11-28,9805,64,11091
2020-11-29,9830,64,11115
2020-11-30,10005,64,11159
2020-12-01,10194,64,11186
2020-12-02,10302,64,11209
2020-12-03,10467,64,11254
2020-12-04,10520,64,11283
2020-12-05,10759,65,11305
2020-12-06,10761,65,11340
2020-12-07,10766,66,11379
2020-12-08,10773,66,11418
2020-12-09,10781,67,11479
2020-12-10,10849,67,11508
2020-12-11,10868,68,11602
2020-12-12,10934,68,11634
2020-12-13,10998,68,11676
2020-12-14,11007,68,11709
2020-12-15,11066,69,11728
2020-12-16,11097,69,11761
2020-12-17,11120,70,11787
2020-12-18,11200,73,11820
2020-12-19,11205,73,11832
2020-12-20,11230,73,11841
2020-12-21,11273,73,11842
2020-12-22,11323,73,11858
2020-12-23,11373,76,11866
2020-12-24,11423,77,11877
2020-12-25,11508,77,11890
2020-12-26,11544,77,11895
2020-12-27,11545,78,11897
2020-12-28,11568,78,11897
2020-12-29,11589,79,11911
2020-12-30,11595,79,11917
2020-12-31,11624,79,11921
2021-01-01,11646,79,11927
2021-01-02,11659,79,11929
2021-01-03,11664,79,11929
2021-01-04,11673,79,11930
2021-01-05,11683,79,11935
2021-01-06,11714,79,11937
2021-01-07,11737,80,11954
2021-01-08,11747,82,11960
2021-01-09,11752,83,11964
2021-01-10,11778,84,11975
2021-01-11,11778,84,11978
2021-01-12,11795,84,11987
2021-01-13,11807,84,11997
2021-01-14,11814,86,12003
2021-01-15,11825,86,12035
2021-01-16,11847,88,12039
2021-01-17,11849,88,12054
2021-01-18,11854,88,12058
2021-01-19,11858,88,12061
2021-01-20,11866,88,12066
2021-01-21,11873,88,12067
2021-01-22,11875,88,12070
2021-01-23,11880,88,12072
2021-01-24,11884,88,12076
2021-01-25,11885,88,12076
2021-01-26,11895,88,12079
2021-01-27,11898,88,12081
2021-01-28,11938,88,12083
2021-01-29,11944,88,12084
2021-01-30,11947,88,12088
2021-01-31,11950,88,12090
2021-02-01,11950,88,12094
2021-02-02,11957,88,12099
2021-02-03,11958,88,12101
2021-02-04,11963,88,12117
2021-02-05,11970,88,12121
2021-02-06,11970,88,12126
2021-02-07,11975,88,12148
2021-02-08,11975,88,12158
2021-02-09,11988,88,12160
2021-02-10,11990,88,12166
2021-02-11,11993,88,12168
2021-02-12,11998,88,12175
2021-02-13,12011,88,12176
2021-02-14,12019,88,12183
2021-02-15,12028,88,12189
2021-02-16,12043,88,12189
2021-02-17,12059,90,12190
2021-02-18,12064,90,12190
2021-02-19,12071,91,12191
2021-02-20,12080,91,12191
2021-02-21,12082,91,12191
2021-02-22,12088,91,12192
2021-02-23,12089,91,12192
2021-02-24,12089,91,12192
2021-02-25,12093,91,12192
2021-02-26,12094,91,12198
2021-02-27,12098,91,12198
2021-02-28,12098,91,12199
2021-03-01,12102,91,12200
2021-03-02,12102,91,12200
2021-03-03,12102,91,12200
2021-03-04,12102,91,12205
2021-03-05,12104,91,12210
2021-03-06,12104,91,12210
2021-03-07,12105,91,12211
2021-03-08,12106,91,12217
2021-03-09,12107,91,12217
2021-03-10,12108,91,12217
2021-03-11,12108,91,12217
2021-03-12,12116,91,12217
2021-03-13,12120,91,12221
2021-03-14,12120,91,12225
2021-03-15,12120,91,12225
2021-03-16,12120,91,12225
2021-03-17,12120,91,12225
2021-03-18,12127,91,12225
2021-03-19,12127,91,12225
2021-03-20,12132,91,12225
2021-03-21,12132,91,12225
2021-03-22,12132,91,12225
2021-03-23,12132,91,12225
2021-03-24,12132,91,12225
2021-03-25,12133,91,12226
2021-03-26,12133,92,12229
2021-03-27,12133,92,12229
2021-03-28,12133,92,12229
2021-03-29,12134,92,12230
2021-03-30,12134,92,12233
2021-03-31,12134,92,12233
2021-04-01,12136,92,12340
2021-04-02,12138,92,12345
2021-04-03,12138,92,12361
2021-04-04,12138,92,12362
2021-04-05,12138,92,12363
2021-04-06,12138,92,12365
2021-04-07,12140,92,12365
2021-04-08,12143,92,12376
2021-04-09,12143,92,12381
2021-04-10,12150,92,12388
