Date,Cured,Deaths,Confirmed
2020-03-26,0,0,1
2020-03-27,0,0,1
2020-03-28,0,0,6
2020-03-29,0,0,9
2020-03-30,0,0,9
2020-03-31,0,0,10
2020-04-01,0,0,10
2020-04-02,0,0,10
2020-04-03,0,0,10
2020-04-04,0,0,10
2020-04-05,0,0,10
2020-04-06,0,0,10
2020-04-07,0,0,10
2020-04-08,0,0,10
2020-04-09,0,0,11
2020-04-10,0,0,11
2020-04-11,0,0,11
2020-04-12,10,0,11
2020-04-13,10,0,11
2020-04-14,10,0,11
2020-04-15,10,0,11
2020-04-16,10,0,11
2020-04-17,10,0,11
2020-04-18,11,0,12
2020-04-19,11,0,14
2020-04-20,11,0,15
2020-04-21,11,0,16
2020-04-22,11,0,17
2020-04-23,11,0,18
2020-04-24,11,0,22
2020-04-25,11,0,27
2020-04-26,11,0,33
2020-04-27,11,0,33
2020-04-28,11,0,33
2020-04-29,15,0,33
2020-04-30,15,0,33
2020-05-01,16,0,33
2020-05-02,16,0,33
2020-05-03,17,0,33
2020-05-04,32,0,33
2020-05-05,32,0,33
2020-05-06,32,0,33
2020-05-07,32,0,33
2020-05-08,33,0,33
2020-05-09,33,0,33
2020-05-10,33,0,33
2020-05-11,33,0,33
2020-05-12,33,0,33
2020-05-13,33,0,33
2020-05-14,33,0,33
2020-05-15,33,0,33
2020-05-16,33,0,33
2020-05-17,33,0,33
2020-05-18,33,0,33
2020-05-19,33,0,33
2020-05-20,33,0,33
2020-05-21,33,0,33
2020-05-22,33,0,33
2020-05-23,33,0,33
2020-05-24,33,0,33
2020-05-25,33,0,33
2020-05-26,33,0,33
2020-05-27,33,0,33
2020-05-28,33,0,33
2020-05-29,33,0,33
2020-05-30,33,0,33
2020-05-31,33,0,33
2020-06-01,33,0,33
2020-06-02,33,0,33
2020-06-03,33,0,33
2020-06-04,33,0,33
2020-06-05,33,0,33
2020-06-06,33,0,33
2020-06-07,33,0,33
2020-06-08,33,0,33
2020-06-09,33,0,33
2020-06-10,33,0,33
2020-06-11,33,0,34
2020-06-12,33,0,38
2020-06-13,33,0,38
2020-06-14,33,0,38
2020-06-15,33,0,38
2020-06-16,33,0,41
2020-06-17,33,0,44
2020-06-18,33,0,44
2020-06-19,33,0,44
2020-06-20,35,0,45
2020-06-21,36,0,47
2020-06-22,37,0,48
2020-06-23,37,0,48
2020-06-24,40,0,50
2020-06-25,43,0,56
2020-06-26,43,0,59
2020-06-27,43,0,72
2020-06-28,43,0,72
2020-06-29,45,0,76
2020-06-30,46,0,90
2020-07-01,50,0,97
2020-07-02,50,0,100
2020-07-03,51,0,109
2020-07-04,54,0,116
2020-07-05,66,0,119
2020-07-06,72,0,125
2020-07-07,74,0,141
2020-07-08,75,0,147
2020-07-09,77,0,149
2020-07-10,83,0,151
2020-07-11,92,0,156
2020-07-12,93,0,163
2020-07-13,93,0,163
2020-07-14,109,0,166
2020-07-15,109,0,166
2020-07-16,130,0,176
2020-07-17,133,0,180
2020-07-18,142,0,194
2020-07-19,145,0,198
2020-07-20,145,0,203
2020-07-21,152,0,207
2020-07-22,159,0,212
2020-07-23,163,0,221
2020-07-24,170,0,240
2020-07-25,174,0,259
2020-07-26,176,0,290
2020-07-27,182,0,324
2020-07-28,192,1,338
2020-07-29,196,1,363
2020-07-30,201,2,428
2020-07-31,201,4,471
2020-08-01,214,5,548
2020-08-02,226,7,636
2020-08-03,242,8,734
2020-08-04,263,10,830
2020-08-05,277,12,928
2020-08-06,326,14,1027
2020-08-07,355,16,1123
2020-08-08,425,19,1222
2020-08-09,500,20,1351
2020-08-10,648,20,1490
2020-08-11,709,20,1625
2020-08-12,749,21,1764
2020-08-13,829,21,1900
2020-08-14,924,22,2037
2020-08-15,1032,24,2186
2020-08-16,1128,24,2306
2020-08-17,1226,28,2399
2020-08-18,1325,29,2445
2020-08-19,1421,30,2529
2020-08-20,1529,30,2604
2020-08-21,1638,31,2680
2020-08-22,1744,32,2747
