Date,Cured,Deaths,Confirmed
2020-03-07,0,0,2
2020-03-08,0,0,2
2020-03-09,0,0,2
2020-03-10,0,0,2
2020-03-11,0,0,2
2020-03-12,0,0,3
2020-03-13,0,0,3
2020-03-14,0,0,3
2020-03-15,0,0,3
2020-03-16,0,0,4
2020-03-17,0,0,6
2020-03-18,0,0,8
2020-03-19,0,0,8
2020-03-20,0,0,10
2020-03-21,0,0,13
2020-03-22,0,0,13
2020-03-23,0,0,13
2020-03-24,0,0,13
2020-03-25,0,0,13
2020-03-26,0,0,13
2020-03-27,3,0,13
2020-03-28,3,0,13
2020-03-29,3,0,13
2020-03-30,3,0,13
2020-03-31,3,0,13
2020-04-01,3,0,13
2020-04-02,3,0,13
2020-04-03,3,0,14
2020-04-04,3,0,14
2020-04-05,10,0,14
2020-04-06,10,0,14
2020-04-07,10,0,14
2020-04-08,10,0,14
2020-04-09,10,0,14
2020-04-10,10,0,15
2020-04-11,10,0,15
2020-04-12,10,0,15
2020-04-13,10,0,15
2020-04-14,10,0,15
2020-04-15,10,0,17
2020-04-16,10,0,17
2020-04-17,14,0,18
2020-04-18,14,0,18
2020-04-19,14,0,18
2020-04-20,14,0,18
2020-04-21,14,0,18
2020-04-22,14,0,18
2020-04-23,14,0,18
2020-04-24,14,0,18
2020-04-25,14,0,20
2020-04-26,14,0,20
2020-04-27,14,0,20
2020-04-28,16,0,22
2020-04-29,16,0,22
2020-04-30,16,0,22
2020-05-01,16,0,22
2020-05-02,17,0,22
2020-05-03,17,0,40
2020-05-04,17,0,41
2020-05-05,17,0,41
2020-05-06,17,0,41
2020-05-07,17,0,41
2020-05-08,17,0,42
2020-05-09,17,0,42
2020-05-10,17,0,42
2020-05-11,21,0,42
2020-05-12,21,0,42
2020-05-13,21,0,42
2020-05-14,22,0,43
2020-05-15,22,0,43
2020-05-16,22,0,43
2020-05-17,22,0,43
2020-05-18,24,0,43
2020-05-19,41,0,43
2020-05-20,43,0,43
2020-05-21,43,0,44
2020-05-22,43,0,44
2020-05-23,43,0,44
2020-05-24,43,0,49
2020-05-25,43,0,52
2020-05-26,43,0,52
2020-05-27,43,0,53
2020-05-28,43,0,53
2020-05-29,43,0,73
2020-05-30,43,0,74
2020-05-31,43,0,74
2020-06-01,43,0,74
2020-06-02,43,0,77
2020-06-03,47,1,81
2020-06-04,48,1,90
2020-06-05,48,1,90
2020-06-06,48,1,97
2020-06-07,48,1,99
2020-06-08,50,1,103
2020-06-09,52,1,103
2020-06-10,52,1,108
2020-06-11,52,1,115
2020-06-12,54,1,135
2020-06-13,62,1,239
2020-06-14,68,1,437
2020-06-15,80,1,549
2020-06-16,82,1,555
2020-06-17,85,1,649
2020-06-18,92,1,687
2020-06-19,95,1,687
2020-06-20,95,1,744
2020-06-21,117,1,836
2020-06-22,134,1,837
2020-06-23,136,1,847
2020-06-24,148,1,932
2020-06-25,274,1,941
2020-06-26,358,1,941
2020-06-27,358,1,946
2020-06-28,554,1,960
2020-06-29,586,1,963
2020-06-30,616,1,964
2020-07-01,648,1,973
2020-07-02,694,1,990
2020-07-03,730,1,990
2020-07-04,777,1,1001
2020-07-05,826,1,1005
2020-07-06,826,1,1005
2020-07-07,836,1,1005
2020-07-08,836,1,1041
2020-07-09,836,1,1041
2020-07-10,915,1,1055
2020-07-11,917,1,1064
2020-07-12,928,1,1077
2020-07-13,928,1,1086
2020-07-14,946,1,1093
2020-07-15,946,1,1093
2020-07-16,964,1,1142
2020-07-17,970,1,1147
2020-07-18,973,1,1151
2020-07-19,985,1,1159
2020-07-20,1003,2,1178
2020-07-21,1007,2,1195
2020-07-22,1010,2,1198
2020-07-23,1018,2,1206
2020-07-24,1025,2,1210
2020-07-25,1035,2,1246
2020-07-26,1057,3,1276
2020-07-27,1063,4,1285
2020-07-28,1066,4,1306
2020-07-29,1067,6,1327
2020-07-30,1080,6,1347
2020-07-31,1094,7,1378
2020-08-01,1095,7,1404
2020-08-02,1108,7,1462
2020-08-03,1108,7,1466
2020-08-04,1109,7,1485
2020-08-05,1127,7,1534
2020-08-06,1164,7,1592
2020-08-07,1177,7,1595
2020-08-08,1194,9,1614
2020-08-09,1214,9,1639
2020-08-10,1222,9,1688
2020-08-11,1237,9,1717
2020-08-12,1255,9,1770
2020-08-13,1274,9,1811
2020-08-14,1282,9,1849
2020-08-15,1303,9,1879
2020-08-16,1307,10,1909
2020-08-17,1356,14,1948
2020-08-18,1368,14,1966
2020-08-19,1395,17,2010
2020-08-20,1397,18,2048
2020-08-21,1436,18,2077
2020-08-22,1449,19,2133
2020-08-23,1469,21,2210
2020-08-24,1491,23,2279
2020-08-25,1517,23,2330
2020-08-26,1549,24,2420
2020-08-27,1580,25,2451
2020-08-28,1640,27,2492
2020-08-29,1714,28,2540
2020-08-30,1745,32,2603
2020-08-31,1757,34,2638
2020-09-01,1874,34,2681
2020-09-02,1978,35,2733
2020-09-03,2007,35,2785
2020-09-04,2039,35,2840
2020-09-05,2085,35,2935
2020-09-06,2127,35,2996
2020-09-07,2151,35,3036
2020-09-08,2211,35,3064
2020-09-09,2211,35,3102
2020-09-10,2329,35,3142
2020-09-11,2366,36,3177
2020-09-12,2387,38,3228
2020-09-13,2414,39,3294
2020-09-14,2436,40,3345
2020-09-15,2475,41,3419
2020-09-16,2517,44,3499
2020-09-17,2536,46,3535
2020-09-18,2558,46,3576
2020-09-19,2600,48,3635
2020-09-20,2666,49,3708
2020-09-21,2691,49,3753
2020-09-22,2735,50,3832
2020-09-23,2809,50,3887
2020-09-24,2844,51,3933
2020-09-25,2893,54,3969
2020-09-26,2971,56,4025
2020-09-27,3018,57,4093
2020-09-28,3032,58,4103
2020-09-29,3064,58,4152
2020-09-30,3107,58,4195
2020-10-01,3147,58,4269
2020-10-02,3232,61,4360
2020-10-03,3274,61,4429
2020-10-04,3315,61,4477
2020-10-05,3354,61,4521
2020-10-06,3414,61,4641
2020-10-07,3464,61,4720
