Date,Cured,Deaths,Confirmed
2020-01-30,0,0,1
2020-01-31,0,0,1
2020-02-01,0,0,2
2020-02-02,0,0,3
2020-02-03,0,0,3
2020-02-04,0,0,3
2020-02-05,0,0,3
2020-02-06,0,0,3
2020-02-07,0,0,3
2020-02-08,0,0,3
2020-02-09,0,0,3
2020-02-10,0,0,3
2020-02-11,0,0,3
2020-02-12,0,0,3
2020-02-13,0,0,3
2020-02-14,0,0,3
2020-02-15,0,0,3
2020-02-16,0,0,3
2020-02-17,0,0,3
2020-02-18,0,0,3
2020-02-19,0,0,3
2020-02-20,0,0,3
2020-02-21,0,0,3
2020-02-22,0,0,3
2020-02-23,0,0,3
2020-02-24,0,0,3
2020-02-25,0,0,3
2020-02-26,0,0,3
2020-02-27,0,0,3
2020-02-28,0,0,3
2020-02-29,0,0,3
2020-03-01,0,0,3
2020-03-02,0,0,3
2020-03-03,3,0,3
2020-03-04,3,0,3
2020-03-05,3,0,3
2020-03-06,3,0,3
2020-03-07,3,0,3
2020-03-08,3,0,8
2020-03-09,3,0,9
2020-03-10,3,0,15
2020-03-11,3,0,17
2020-03-12,3,0,17
2020-03-13,3,0,19
2020-03-14,3,0,19
2020-03-15,3,0,22
2020-03-16,3,0,23
2020-03-17,3,0,26
2020-03-18,3,0,27
2020-03-19,3,0,27
2020-03-20,3,0,28
2020-03-21,3,0,40
2020-03-22,3,0,52
2020-03-23,3,0,67
2020-03-24,4,0,95
2020-03-25,4,0,109
2020-03-26,6,0,118
2020-03-27,11,0,137
2020-03-28,11,0,176
2020-03-29,15,1,182
2020-03-30,19,1,202
2020-03-31,19,1,234
2020-04-01,23,2,241
2020-04-02,25,2,265
2020-04-03,27,2,286
2020-04-04,41,2,295
2020-04-05,49,2,306
2020-04-06,55,2,314
2020-04-07,58,2,327
2020-04-08,70,2,336
2020-04-09,83,2,345
2020-04-10,96,2,357
2020-04-11,123,2,364
2020-04-12,142,2,374
2020-04-13,179,3,376
2020-04-14,198,3,379
2020-04-15,211,3,387
2020-04-16,218,3,388
2020-04-17,245,3,395
2020-04-18,255,3,396
2020-04-19,257,3,400
2020-04-20,270,3,402
2020-04-21,291,3,408
2020-04-22,323,3,427
2020-04-23,324,3,438
2020-04-24,324,3,448
2020-04-25,331,4,451
2020-04-26,338,4,458
2020-04-27,342,4,469
2020-04-28,355,4,482
2020-04-29,359,4,486
2020-04-30,369,4,496
2020-05-01,383,4,497
2020-05-02,392,4,497
2020-05-03,400,4,500
2020-05-04,401,4,500
2020-05-05,462,4,500
2020-05-06,462,4,502
2020-05-07,469,4,503
2020-05-08,474,4,503
2020-05-09,484,4,503
2020-05-10,485,4,505
2020-05-11,489,4,512
2020-05-12,489,4,519
2020-05-13,489,4,524
2020-05-14,490,4,534
2020-05-15,491,4,560
2020-05-16,492,4,576
2020-05-17,495,4,587
2020-05-18,497,4,601
2020-05-19,497,4,630
2020-05-20,497,4,642
2020-05-21,502,4,666
2020-05-22,510,4,690
2020-05-23,512,4,732
2020-05-24,515,4,795
2020-05-25,521,4,847
2020-05-26,532,5,896
2020-05-27,542,6,963
2020-05-28,552,7,1004
2020-05-29,555,7,1088
2020-05-30,565,8,1150
2020-05-31,575,9,1208
2020-06-01,590,9,1269
2020-06-02,608,10,1326
2020-06-03,627,11,1412
2020-06-04,651,11,1494
2020-06-05,690,14,1588
2020-06-06,712,14,1699
2020-06-07,762,15,1807
2020-06-08,803,15,1914
2020-06-09,814,16,2005
2020-06-10,848,16,2096
2020-06-11,905,18,2161
2020-06-12,968,18,2244
2020-06-13,1000,19,2322
2020-06-14,1046,19,2407
2020-06-15,1102,19,2461
2020-06-16,1175,20,2543
2020-06-17,1236,20,2622
2020-06-18,1326,20,2697
2020-06-19,1415,21,2794
2020-06-20,1511,21,2912
2020-06-21,1568,21,3039
2020-06-22,1661,21,3172
2020-06-23,1749,21,3310
2020-06-24,1809,22,3451
2020-06-25,1888,22,3603
2020-06-26,1943,22,3726
2020-06-27,2008,22,3876
2020-06-28,2110,22,4071
2020-06-29,2152,22,4189
2020-06-30,2152,22,4189
2020-07-01,2306,24,4442
2020-07-02,2439,24,4593
2020-07-03,2640,25,4753
2020-07-04,2841,25,4964
2020-07-05,3048,25,5204
2020-07-06,3174,25,5429
2020-07-07,3341,27,5622
2020-07-08,3452,27,5894
2020-07-09,3559,27,6195
2020-07-10,3708,27,6534
2020-07-11,3820,27,6950
2020-07-12,3963,29,7438
2020-07-13,4095,31,7873
2020-07-14,4257,33,8322
2020-07-15,4438,34,8930
2020-07-16,4634,35,9553
2020-07-17,4862,37,10275
2020-07-18,4995,38,11066
2020-07-19,5199,40,11659
2020-07-20,5371,42,12480
2020-07-21,5616,43,13274
2020-07-22,5890,44,13994
2020-07-23,6162,45,15032
2020-07-24,6594,50,16110
2020-07-25,7562,54,16995
2020-07-26,8611,59,18098
2020-07-27,9300,61,19025
2020-07-28,10045,63,19727
2020-07-29,10724,67,20894
2020-07-30,11365,68,21797
2020-07-31,12159,70,22303
2020-08-01,13023,73,23613
2020-08-02,13775,81,24742
2020-08-03,14463,82,25911
2020-08-04,15278,84,26873
2020-08-05,16299,87,27956
2020-08-06,17533,94,29151
2020-08-07,18333,97,30449
2020-08-08,19147,102,31700
2020-08-09,20862,106,33120
2020-08-10,21832,108,34331
2020-08-11,22616,115,35515
2020-08-12,24042,120,36932
2020-08-13,24922,126,38144
2020-08-14,25688,129,39708
2020-08-15,26992,139,41277
2020-08-16,27795,146,42885
2020-08-17,28894,156,44415
2020-08-18,30025,169,46140
2020-08-19,31390,175,47898
2020-08-20,32607,182,50231
2020-08-21,33824,191,52199
2020-08-22,35243,203,54182
2020-08-23,36535,218,56354
2020-08-24,37645,223,58262
2020-08-25,38883,234,59504
2020-08-26,40339,244,61879
2020-08-27,41690,257,64355
2020-08-28,43757,267,66761
2020-08-29,45854,274,69304
2020-08-30,48079,280,71701
2020-08-31,49849,287,73855
2020-09-01,51538,294,75385
2020-09-02,53649,298,76525
2020-09-03,55778,305,78072
2020-09-04,57728,315,79625
2020-09-05,60444,326,82104
2020-09-06,62555,337,84759
2020-09-07,64751,347,87841
2020-09-08,66997,359,89489
2020-09-09,68863,372,92515
2020-09-10,70917,384,95917
2020-09-11,72578,396,99266
2020-09-12,73900,410,102254
2020-09-13,75844,425,105139
2020-09-14,77699,439,108278
2020-09-15,79809,454,110818
2020-09-16,82341,466,114033
2020-09-17,84608,480,117863
2020-09-18,87345,489,122214
2020-09-19,90085,501,126381
2020-09-20,92951,519,131005
2020-09-21,95702,535,135721
2020-09-22,98724,553,138631
2020-09-23,101731,572,142756
2020-09-24,104682,592,148132
2020-09-25,107850,613,154456
2020-09-26,111331,635,160933
2020-09-27,114530,656,167939
2020-09-28,117921,677,175384
2020-09-29,121268,697,179922
2020-09-30,124688,719,187276
2020-10-01,128224,742,196106
2020-10-02,131052,771,204241
2020-10-03,135144,791,213499
2020-10-04,139620,813,221333
2020-10-05,144471,836,229886
2020-10-06,149111,859,234928
2020-10-07,154092,884,242799
2020-10-08,160253,906,253405
2020-10-09,167256,930,258850
2020-10-10,175304,955,268100
2020-10-11,182874,978,279855
2020-10-12,191798,1003,289202
2020-10-13,199634,1025,295132
2020-10-14,207357,1046,303896
2020-10-15,215149,1066,310140
2020-10-16,222231,1089,317929
2020-10-17,228998,1113,325212
2020-10-18,236989,1139,334228
2020-10-19,245399,1161,341859
2020-10-20,252868,1182,346881
2020-10-21,260243,1206,353472
2020-10-22,267082,1232,361841
2020-10-23,274675,1255,369323
2020-10-24,280793,1281,377834
2020-10-25,287261,1306,386087
2020-10-26,294910,1332,392930
2020-10-27,302017,1352,397217
2020-10-28,309032,1376,402674
2020-10-29,316692,1403,411464
2020-10-30,325166,1429,418484
2020-10-31,332994,1457,425122
2020-11-01,340324,1484,433105
2020-11-02,348835,1512,440130
2020-11-03,355943,1533,444268
2020-11-04,364745,1559,451130
2020-11-05,372951,1587,459646
2020-11-06,380650,1613,466466
2020-11-07,388504,1640,473468
2020-11-08,395624,1668,480669
2020-11-09,402477,1692,486109
2020-11-10,408460,1714,489702
2020-11-11,415158,1742,495712
2020-11-12,422410,1771,502719
2020-11-13,428529,1796,508256
2020-11-14,434730,1822,514060
2020-11-15,441523,1848,520417
2020-11-16,448207,1869,524998
2020-11-17,454774,1888,527708
2020-11-18,461394,1915,533500
2020-11-19,468460,1943,539919
2020-11-20,475320,1969,545641
2020-11-21,481718,1997,551669
2020-11-22,488437,2022,557441
2020-11-23,494664,2049,562695
2020-11-24,500089,2071,566452
2020-11-25,505238,2095,571872
2020-11-26,511008,2121,578363
2020-11-27,516978,2148,583741
2020-11-28,521522,2171,587707
2020-11-29,526797,2196,593957
2020-11-30,532658,2223,599600
2020-12-01,538713,2244,602982
2020-12-02,544864,2270,608357
2020-12-03,550788,2298,614673
2020-12-04,556378,2329,620049
