Date,Cured,Deaths,Confirmed
2020-03-21,0,0,2
2020-03-22,0,0,2
2020-03-23,0,0,2
2020-03-24,0,1,3
2020-03-25,0,1,3
2020-03-26,0,1,3
2020-03-27,0,1,3
2020-03-28,0,1,3
2020-03-29,0,1,3
2020-03-30,0,1,3
2020-03-31,0,1,3
2020-04-01,0,1,3
2020-04-02,1,1,3
2020-04-03,1,1,6
2020-04-04,1,1,6
2020-04-05,1,1,6
2020-04-06,2,1,13
2020-04-07,2,1,13
2020-04-08,2,1,18
2020-04-09,2,1,18
2020-04-10,6,1,28
2020-04-11,6,1,28
2020-04-12,6,1,32
2020-04-13,13,1,32
2020-04-14,13,1,32
2020-04-15,13,1,33
2020-04-16,16,1,35
2020-04-17,16,1,35
2020-04-18,16,1,38
2020-04-19,16,1,39
2020-04-20,16,1,39
2020-04-21,16,1,39
2020-04-22,16,1,39
2020-04-23,18,1,40
2020-04-24,18,1,40
2020-04-25,18,1,40
2020-04-26,22,1,40
2020-04-27,22,1,40
2020-04-28,22,1,40
2020-04-29,25,1,40
2020-04-30,25,1,40
2020-05-01,28,1,40
2020-05-02,30,1,40
2020-05-03,33,1,40
2020-05-04,34,1,40
2020-05-05,38,1,41
2020-05-06,38,2,42
2020-05-07,38,2,45
2020-05-08,38,2,46
2020-05-09,38,2,50
2020-05-10,38,2,50
2020-05-11,39,2,55
2020-05-12,39,2,59
2020-05-13,39,2,65
2020-05-14,39,2,66
2020-05-15,39,2,74
2020-05-16,39,3,76
2020-05-17,43,3,78
2020-05-18,44,3,80
2020-05-19,44,3,90
2020-05-20,47,3,92
2020-05-21,54,3,110
2020-05-22,59,3,152
2020-05-23,59,3,168
2020-05-24,61,3,185
2020-05-25,63,3,203
2020-05-26,67,5,223
2020-05-27,67,5,247
2020-05-28,70,5,273
2020-05-29,70,5,276
2020-05-30,87,5,295
2020-05-31,111,5,313
2020-06-01,120,5,331
2020-06-02,122,5,340
2020-06-03,140,5,345
2020-06-04,150,5,359
2020-06-05,179,5,383
2020-06-06,189,5,393
2020-06-07,194,5,400
2020-06-08,224,5,413
2020-06-09,227,5,421
2020-06-10,249,5,445
2020-06-11,254,6,451
2020-06-12,280,6,470
2020-06-13,297,6,486
2020-06-14,313,6,502
2020-06-15,337,7,518
2020-06-16,353,8,556
2020-06-17,372,8,560
