Date,Cured,Deaths,Confirmed
2020-12-11,0,0,0
2020-12-12,0,0,0
2020-12-13,0,0,0
2020-12-14,0,0,0
2020-12-15,0,0,0
2020-12-16,0,0,0
2020-12-17,0,0,0
2020-12-18,0,0,0
2020-12-19,0,0,0
2020-12-20,0,0,0
2020-12-21,0,0,0
2020-12-22,0,0,0
2020-12-23,0,0,0
2020-12-24,0,0,0
2020-12-25,0,0,0
2020-12-26,0,0,0
2020-12-27,0,0,0
2020-12-28,0,0,0
2020-12-29,0,0,0
2020-12-30,0,0,0
2020-12-31,0,0,0
2021-01-01,0,0,0
2021-01-02,0,0,0
2021-01-03,0,0,0
2021-01-04,0,0,0
2021-01-05,0,0,0
2021-01-06,0,0,0
2021-01-07,0,0,0
2021-01-08,0,0,0
2021-01-09,0,0,0
2021-01-10,0,0,0
2021-01-11,0,0,0
2021-01-12,0,0,0
2021-01-13,0,0,0
2021-01-14,0,0,0
2021-01-15,0,0,0
2021-01-16,0,0,0
2021-01-17,0,0,0
2021-01-18,0,0,0
2021-01-19,0,0,14
2021-01-20,0,0,21
2021-01-21,0,0,30
2021-01-22,0,0,48
2021-01-23,0,0,50
2021-01-24,0,0,57
2021-01-25,0,0,59
2021-01-26,0,0,67
2021-01-27,0,0,69
2021-01-28,0,0,69
2021-01-29,0,0,69
2021-01-30,14,0,70
2021-01-31,30,0,79
2021-02-01,49,0,87
2021-02-02,56,0,99
2021-02-03,56,0,119
2021-02-04,61,0,122
2021-02-05,61,0,126
2021-02-06,65,0,141
2021-02-07,65,0,151
2021-02-08,65,0,153
2021-02-09,76,0,154
2021-02-10,93,0,166
2021-02-11,118,0,181
2021-02-12,119,0,187
2021-02-13,119,0,188
2021-02-14,134,0,224
2021-02-15,136,0,233
2021-02-16,143,0,234
2021-02-17,158,0,251
2021-02-18,164,0,261
2021-02-19,167,0,263
2021-02-20,181,0,272
2021-02-21,192,0,277
2021-02-22,204,0,280
2021-02-23,215,0,295
2021-02-24,236,0,316
2021-02-25,236,0,322
2021-02-26,244,1,331
2021-02-27,252,1,333
2021-02-28,260,1,359
2021-03-01,261,1,382
2021-03-02,268,1,397
2021-03-03,269,1,407
2021-03-04,285,1,414
2021-03-05,309,1,425
2021-03-06,311,1,468
2021-03-07,313,1,473
2021-03-08,327,1,486
2021-03-09,329,1,494
2021-03-10,341,1,509
2021-03-11,341,1,509
2021-03-12,355,1,524
